sep=,
TIME,LATITUDE (deg+-m),LONGITUDE (deg+-m),ALTITUDE (m+-m),TRACK (deg from true north+-deg),SPEED (m/s+-m/s),CLIMB (m/s+-m/s),MODE,SAT
2016-05-20T08:06:46.000Z+-0.005,41.126274667+-14.721,-8.640747+-31.937,84.0+-149.04,0.0+-nan,0.078+-nan,0.0+-nan,3,13
2016-05-20T08:06:47.000Z+-0.005,41.126275333+-14.721,-8.640746333+-31.937,83.8+-149.04,0.0+-nan,0.005+-nan,0.0+-nan,3,13
2016-05-20T08:06:48.000Z+-0.005,41.126275667+-14.721,-8.640744+-31.937,84.0+-149.04,0.0+-nan,0.043+-nan,0.0+-nan,3,13
2016-05-20T08:06:49.000Z+-0.005,41.126276+-14.721,-8.640741667+-31.937,84.2+-149.04,0.0+-nan,0.027+-nan,0.0+-nan,3,13
2016-05-20T08:06:50.000Z+-0.005,41.126276+-14.721,-8.640740167+-31.937,84.5+-149.04,0.0+-nan,0.024+-nan,0.0+-nan,3,16
2016-05-20T08:06:51.000Z+-0.005,41.126275833+-14.721,-8.640739+-31.937,84.8+-149.04,0.0+-nan,0.012+-nan,0.0+-nan,3,15
2016-05-20T08:06:52.000Z+-0.005,41.1262755+-14.721,-8.640738+-31.937,85.0+-149.04,0.0+-nan,0.024+-nan,0.0+-nan,3,16
2016-05-20T08:06:53.000Z+-0.005,41.126275833+-14.721,-8.6407365+-31.937,85.0+-149.27,0.0+-nan,0.009+-nan,0.0+-nan,3,16
2016-05-20T08:06:54.000Z+-0.005,41.126276+-14.721,-8.640735667+-31.937,85.0+-149.27,0.0+-nan,0.022+-nan,0.0+-nan,3,16
2016-05-20T08:06:55.000Z+-0.005,41.126275667+-14.721,-8.6407355+-31.937,85.2+-149.27,0.0+-nan,0.01+-nan,0.0+-nan,3,15
2016-05-20T08:06:56.000Z+-0.005,41.126275833+-14.721,-8.6407345+-31.937,85.1+-149.27,0.0+-nan,0.039+-nan,0.0+-nan,3,15
2016-05-20T08:06:57.000Z+-0.005,41.126276167+-14.721,-8.640734+-31.937,85.0+-149.27,0.0+-nan,0.023+-nan,0.0+-nan,3,14
2016-05-20T08:06:58.000Z+-0.005,41.126275833+-14.721,-8.640734667+-31.937,84.9+-52.21,0.0+-nan,0.171+-nan,0.0+-nan,3,13
2016-05-20T08:06:59.000Z+-0.005,41.126275333+-14.721,-8.640735333+-31.937,85.1+-52.21,0.0+-nan,0.11+-nan,0.0+-nan,3,12
2016-05-20T08:07:00.000Z+-0.005,41.126275167+-14.721,-8.640735667+-31.937,85.1+-52.21,0.0+-nan,0.016+-nan,0.0+-nan,3,12
2016-05-20T08:07:01.000Z+-0.005,41.126275333+-14.721,-8.640736+-31.937,85.2+-52.21,0.0+-nan,0.029+-nan,0.0+-nan,3,10
2016-05-20T08:07:02.000Z+-0.005,41.126275667+-14.721,-8.6407355+-31.937,85.2+-52.21,0.0+-nan,0.094+-nan,0.0+-nan,3,10
2016-05-20T08:07:03.000Z+-0.005,41.126276167+-3.68,-8.640736667+-7.984,84.7+-13.053,0.0+-nan,0.243+-nan,0.0+-nan,3,10
2016-05-20T08:07:04.000Z+-0.005,41.126277167+-3.68,-8.640735167+-7.984,84.5+-13.053,0.0+-nan,0.063+-nan,0.0+-nan,3,9
2016-05-20T08:07:05.000Z+-0.005,41.126277833+-3.68,-8.640734333+-7.984,84.5+-13.053,0.0+-nan,0.061+-nan,0.0+-nan,3,9
2016-05-20T08:07:06.000Z+-0.005,41.126277833+-3.68,-8.640735+-7.984,84.5+-13.053,0.0+-nan,0.037+-nan,0.0+-nan,3,9
2016-05-20T08:07:07.000Z+-0.005,41.126278333+-3.68,-8.640735667+-7.984,84.3+-13.053,0.0+-nan,0.026+-nan,0.0+-nan,3,10
2016-05-20T08:07:08.000Z+-0.005,41.126278667+-3.68,-8.640736833+-7.984,84.0+-13.053,0.0+-nan,0.061+-nan,0.0+-nan,3,10
2016-05-20T08:07:09.000Z+-0.005,41.126279833+-3.68,-8.6407375+-7.984,83.5+-13.053,0.0+-nan,0.073+-nan,0.0+-nan,3,10
2016-05-20T08:07:10.000Z+-0.005,41.1262805+-3.68,-8.640737833+-7.984,83.3+-13.053,0.0+-nan,0.023+-nan,0.0+-nan,3,10
2016-05-20T08:07:11.000Z+-0.005,41.126280833+-3.68,-8.640737667+-7.984,83.2+-13.053,0.0+-nan,0.034+-nan,0.0+-nan,3,10
2016-05-20T08:07:12.000Z+-0.005,41.126280833+-3.68,-8.640738333+-7.984,83.1+-13.053,0.0+-nan,0.047+-nan,0.0+-nan,3,9
2016-05-20T08:07:13.000Z+-0.005,41.1262815+-3.68,-8.6407395+-7.984,83.0+-13.053,0.0+-nan,0.014+-nan,0.0+-nan,3,9
2016-05-20T08:07:14.000Z+-0.005,41.126280667+-3.68,-8.640743333+-7.984,83.0+-13.053,0.0+-nan,0.031+-nan,0.0+-nan,3,9
2016-05-20T08:07:15.000Z+-0.005,41.126280333+-3.68,-8.640745667+-7.984,82.9+-13.053,0.0+-nan,0.027+-nan,0.0+-nan,3,9
2016-05-20T08:07:16.000Z+-0.005,41.126278833+-3.68,-8.6407485+-7.984,83.3+-13.053,0.0+-nan,0.011+-nan,0.0+-nan,3,9
2016-05-20T08:07:17.000Z+-0.005,41.126278167+-3.68,-8.640750667+-7.984,83.5+-13.053,0.0+-nan,0.017+-nan,0.0+-nan,3,9
2016-05-20T08:07:18.000Z+-0.005,41.126277833+-3.68,-8.640752667+-7.984,83.6+-13.053,0.0+-nan,0.004+-nan,0.0+-nan,3,9
2016-05-20T08:07:19.000Z+-0.005,41.1262775+-3.68,-8.640753667+-7.984,83.8+-13.053,0.0+-nan,0.014+-nan,0.0+-nan,3,9
2016-05-20T08:07:20.000Z+-0.005,41.126277+-3.68,-8.640754833+-7.984,84.0+-13.053,0.0+-nan,0.006+-nan,0.0+-nan,3,9
2016-05-20T08:07:21.000Z+-0.005,41.1262765+-3.68,-8.640755833+-7.984,84.2+-13.053,0.0+-nan,0.019+-nan,0.0+-nan,3,9
2016-05-20T08:07:22.000Z+-0.005,41.126276167+-3.68,-8.6407565+-7.984,84.4+-13.053,0.0+-nan,0.011+-nan,0.0+-nan,3,9
2016-05-20T08:07:23.000Z+-0.005,41.126276+-3.68,-8.640757+-7.984,84.5+-13.053,0.0+-nan,0.097+-nan,0.0+-nan,3,9
2016-05-20T08:07:24.000Z+-0.005,41.126275833+-3.68,-8.6407575+-7.984,84.6+-13.053,0.0+-nan,0.032+-nan,0.0+-nan,3,9
2016-05-20T08:07:25.000Z+-0.005,41.126275833+-3.68,-8.640757833+-7.984,84.7+-13.053,0.0+-nan,0.051+-nan,0.0+-nan,3,9
2016-05-20T08:07:26.000Z+-0.005,41.126275667+-3.68,-8.640758333+-7.984,84.8+-13.053,0.0+-nan,0.004+-nan,0.0+-nan,3,9
2016-05-20T08:07:27.000Z+-0.005,41.126275167+-3.68,-8.640758833+-7.984,84.9+-13.053,0.0+-nan,0.163+-nan,0.0+-nan,3,9
2016-05-20T08:07:28.000Z+-0.005,41.126274667+-3.68,-8.6407605+-7.984,85.1+-13.053,0.0+-nan,0.269+-nan,0.0+-nan,3,9
2016-05-20T08:07:32.000Z+-0.005,41.1262745+-3.68,-8.6407595+-7.984,85.3+-13.053,0.0+-nan,0.13+-nan,0.0+-nan,3,9
2016-05-20T08:07:33.000Z+-0.005,41.126274167+-3.68,-8.640759333+-7.984,85.4+-13.053,0.0+-nan,0.14+-nan,0.0+-nan,3,9
2016-05-20T08:07:34.000Z+-0.005,41.126273833+-3.68,-8.640759667+-7.984,85.4+-13.053,0.0+-nan,0.074+-nan,0.0+-nan,3,9
2016-05-20T08:07:35.000Z+-0.005,41.126273167+-3.68,-8.6407605+-7.984,85.5+-13.053,0.0+-nan,0.078+-nan,0.0+-nan,3,9
2016-05-20T08:07:36.000Z+-0.005,41.1262715+-3.68,-8.640760167+-7.984,85.5+-13.053,0.0+-nan,0.029+-nan,0.0+-nan,3,9
2016-05-20T08:07:37.000Z+-0.005,41.12627+-3.68,-8.640761667+-7.984,85.5+-13.053,0.0+-nan,0.032+-nan,0.0+-nan,3,9
2016-05-20T08:07:38.000Z+-0.005,41.126268667+-3.68,-8.640762167+-7.984,85.8+-13.053,0.0+-nan,0.09+-nan,0.0+-nan,3,9
2016-05-20T08:07:39.000Z+-0.005,41.1262665+-3.68,-8.640764+-7.984,85.9+-13.053,0.0+-nan,0.008+-nan,0.0+-nan,3,9
2016-05-20T08:07:40.000Z+-0.005,41.126265333+-3.68,-8.640763167+-7.984,86.3+-13.053,0.0+-nan,0.012+-nan,0.0+-nan,3,9
2016-05-20T08:07:41.000Z+-0.005,41.126263+-3.68,-8.6407625+-7.984,86.8+-13.053,0.0+-nan,0.01+-nan,0.0+-nan,3,9
2016-05-20T08:07:42.000Z+-0.005,41.126262167+-3.68,-8.640762333+-7.984,87.2+-13.053,0.0+-nan,0.035+-nan,0.0+-nan,3,9
2016-05-20T08:07:43.000Z+-0.005,41.126259833+-3.68,-8.6407625+-7.984,87.7+-13.053,0.0+-nan,0.019+-nan,0.0+-nan,3,9
2016-05-20T08:07:44.000Z+-0.005,41.126257833+-3.68,-8.640762833+-7.984,88.2+-13.053,0.0+-nan,0.003+-nan,0.0+-nan,3,9
2016-05-20T08:07:45.000Z+-0.005,41.1262565+-3.68,-8.640762333+-7.984,88.5+-13.053,0.0+-nan,0.025+-nan,0.0+-nan,3,9
2016-05-20T08:07:46.000Z+-0.005,41.126255167+-3.68,-8.640761667+-7.984,88.8+-13.053,0.0+-nan,0.011+-nan,0.0+-nan,3,9
2016-05-20T08:07:47.000Z+-0.005,41.126254167+-3.68,-8.640761333+-7.984,88.8+-13.053,0.0+-nan,0.007+-nan,0.0+-nan,3,10
2016-05-20T08:07:48.000Z+-0.005,41.126253833+-3.68,-8.640760333+-7.984,88.9+-13.053,0.0+-nan,0.011+-nan,0.0+-nan,3,10
